type,title,date_added,release_year,rating,duration_minutes,listed_in,streaming_platform
Movie,The King Stays King,"September 15, 2021",2012,TV-PG,96.50121457489878,"Documentaries, International, Latino",Hulu
Movie,"Yandel: Legacy, De Lider a Leyenda Tour","September 15, 2021",2015,TV-14,96.50121457489878,"Documentaries, International, Latino",Hulu
Movie,Colette,"September 13, 2021",2018,R,112.0,"Drama, History",Hulu
Movie,Detainee 001,"September 10, 2021",2021,TV-MA,96.50121457489878,Documentaries,Hulu
Movie,Transporter 3,"September 10, 2021",2008,PG-13,99.0,"Action, Adventure",Hulu
Movie,La La Land,"September 8, 2021",2016,PG-13,128.0,"Comedy, Drama, Music",Hulu
Movie,Logan,"September 7, 2021",2017,R,138.0,"Action, Drama, Science Fiction",Hulu
Movie,Bolden,"September 3, 2021",2019,R,102.0,"Drama, History, Music",Hulu
Movie,CMA Summer Jam,"September 3, 2021",2021,TV-PG,96.50121457489878,Music,Hulu
Movie,Blue City,"September 1, 2021",1986,R,83.0,"Action, Adventure, Horror",Hulu
Movie,Cold Creek Manor,"September 1, 2021",2003,R,119.0,"Drama, Thriller",Hulu
Movie,Crazy Heart,"September 1, 2021",2009,R,112.0,"Drama, Music, Romance",Hulu
Movie,Edward Scissorhands,"September 1, 2021",1990,PG-13,101.0,"Comedy, Drama, Romance",Hulu
Movie,El Dorado,"September 1, 2021",1967,TV-PG,126.0,"Action, Adventure",Hulu
Movie,Election,"September 1, 2021",1999,R,103.0,Comedy,Hulu
Movie,Free Willy,"September 1, 2021",1993,PG,111.0,"Drama, Family, Kids",Hulu
Movie,Free Willy 2: The Adventure Home,"September 1, 2021",1995,PG,98.0,"Drama, Family, Kids",Hulu
Movie,Free Willy 3: The Rescue,"September 1, 2021",1997,PG,86.0,"Action, Adventure, Family",Hulu
Movie,Free Willy: Escape From Pirate's Cove,"September 1, 2021",2010,PG,101.0,"Adventure, Kids",Hulu
Movie,"Friday The 13th, Part III","September 1, 2021",1982,R,95.0,"Horror, Thriller",Hulu
Movie,Friday the 13th: The Final Chapter,"September 1, 2021",1984,R,91.0,"Action, Adventure, Horror",Hulu
Movie,Gattaca,"September 1, 2021",1997,PG-13,106.0,"Drama, Science Fiction, Thriller",Hulu
Movie,Girls! Girls! Girls!,"September 1, 2021",1962,PG,99.0,"Comedy, Music",Hulu
Movie,Hoosiers,"September 1, 2021",1986,PG,115.0,"Drama, Sports",Hulu
Movie,I Spit on Your Grave,"September 1, 2021",2010,R,106.0,Horror,Hulu
Movie,I Spit On Your Grave 2,"September 1, 2021",2013,R,106.0,Horror,Hulu
Movie,Internal Affairs,"September 1, 2021",1990,R,115.0,"Action, Adventure, Crime",Hulu
Movie,Kiss The Girls,"September 1, 2021",1997,R,116.0,"Black Stories, Crime, Drama",Hulu
Movie,McLintock! (Producer's Cut),"September 1, 2021",1963,TV-PG,127.0,"Action, Adventure, Comedy",Hulu
Movie,Miss You Already,"September 1, 2021",2015,PG-13,113.0,"Drama, Romance",Hulu
Movie,Mommy,"September 1, 2021",2014,R,139.0,"Drama, International",Hulu
Movie,Much Ado About Nothing,"September 1, 2021",2013,PG-13,109.0,"Comedy, Drama, Romance",Hulu
Movie,New Year's Eve,"September 1, 2021",2011,PG-13,118.0,"Comedy, Drama, Romance",Hulu
Movie,Phase IV,"September 1, 2021",1974,PG,83.0,"Horror, Science Fiction, Thriller",Hulu
Movie,Priest,"September 1, 2021",2011,PG-13,87.0,"Action, Adventure, Horror",Hulu
Movie,Road to Perdition,"September 1, 2021",2002,R,117.0,"Crime, Drama",Hulu
Movie,Shaun the Sheep Movie,"September 1, 2021",2015,PG,79.0,"Adventure, Comedy, Family",Hulu
Movie,Slumdog Millionaire,"September 1, 2021",2008,R,121.0,"Drama, International, Romance",Hulu
Movie,Solace,"September 1, 2021",2015,R,102.0,"Drama, Horror, Mystery",Hulu
Movie,Sucker Punch,"September 1, 2021",2011,PG-13,110.0,"Action, Adventure, Science Fiction",Hulu
Movie,Tears of the Sun,"September 1, 2021",2003,R,121.0,"Action, Drama, Thriller",Hulu
Movie,The Apparition,"September 1, 2021",2012,PG-13,83.0,Horror,Hulu
Movie,The Glass House,"September 1, 2021",2001,PG-13,106.0,"Drama, Horror, Thriller",Hulu
Movie,The Interview,"September 1, 2021",2014,TV-MA,113.0,Comedy,Hulu
Movie,The Last Castle,"September 1, 2021",2001,TV-14,131.0,"Action, Adventure, Drama",Hulu
Movie,The Manchurian Candidate,"September 1, 2021",2004,R,130.0,"Drama, Mystery, Science Fiction",Hulu
Movie,The Mexican,"September 1, 2021",2001,R,123.0,"Action, Adventure, Comedy",Hulu
Movie,The Possession,"September 1, 2021",2012,PG-13,92.0,"Horror, Thriller",Hulu
Movie,The Tenant,"September 1, 2021",1976,R,125.0,"Drama, Horror",Hulu
Movie,The Wedding Plan,"September 1, 2021",2016,PG,110.0,"Comedy, Drama, Romance",Hulu
Movie,The X-Files: Fight the Future,"September 1, 2021",1998,PG-13,122.0,"Horror, Science Fiction, Thriller",Hulu
Movie,Vantage Point,"September 1, 2021",2008,PG-13,90.0,"Action, Adventure, Drama",Hulu
Movie,Volcano,"September 1, 2021",1997,R,104.0,"Action, Adventure, Drama",Hulu
Movie,Spell,"August 30, 2021",2020,R,91.0,"Horror, Thriller",Hulu
Movie,Horizon Line,"August 29, 2021",2020,PG-13,92.0,Thriller,Hulu
Movie,Four Good Days,"August 28, 2021",2020,R,101.0,Drama,Hulu
Movie,Chaos Walking,"August 27, 2021",2021,PG-13,109.0,"Adventure, Science Fiction",Hulu
Movie,In the Earth,"August 27, 2021",2021,R,107.0,"Horror, Thriller",Hulu
Movie,Disobedience,"August 26, 2021",2017,R,114.0,"Drama, LGBTQ+, Romance",Hulu
Movie,Feral State,"August 26, 2021",2020,R,83.0,Thriller,Hulu
Movie,Love and Monsters,"August 26, 2021",2020,PG,109.0,"Adventure, Comedy",Hulu
Movie,Unsane,"August 18, 2021",2018,R,98.0,"Horror, Thriller",Hulu
Movie,The Hate U Give,"August 15, 2021",2018,PG-13,133.0,"Black Stories, Drama",Hulu
Movie,Homeroom,"August 12, 2021",2021,TV-MA,92.0,"Black Stories, Documentaries",Hulu
Movie,The Virtuoso,"August 12, 2021",2021,R,110.0,"Horror, Thriller",Hulu
Movie,Texas: Spirit and Soul,"August 6, 2021",2021,TV-PG,96.50121457489878,Documentaries,Hulu
Movie,21,"August 1, 2021",2008,PG-13,123.0,Drama,Hulu
Movie,30 Days of Night,"August 1, 2021",2007,R,113.0,"Horror, Thriller",Hulu
Movie,30 Minutes or Less,"August 1, 2021",2011,R,82.0,"Action, Adventure, Comedy",Hulu
Movie,Alpha and Omega,"August 1, 2021",2010,PG,88.0,"Adventure, Comedy, Family",Hulu
Movie,Are We There Yet?,"August 1, 2021",2005,PG,91.0,"Action, Adventure, Black Stories",Hulu
Movie,Attack the Block,"August 1, 2021",2011,R,88.0,"Action, Black Stories, Comedy",Hulu
Movie,Black Swan,"August 1, 2021",2010,R,108.0,"Drama, Horror, Mystery",Hulu
Movie,Every Breath You Take,"August 1, 2021",2021,R,106.0,Thriller,Hulu
Movie,First Knight,"August 1, 2021",1995,PG-13,134.0,"Action, Adventure, Drama",Hulu
Movie,Freelancers,"August 1, 2021",2012,R,97.0,"Action, Adventure, Crime",Hulu
Movie,French Postcards,"August 1, 2021",1979,PG,95.0,"Comedy, Drama, Romance",Hulu
Movie,From Prada to Nada,"August 1, 2021",2011,PG-13,107.0,"Comedy, Drama, Romance",Hulu
Movie,Gulliver's Travels,"August 1, 2021",2010,PG,81.0,"Action, Adventure, Comedy",Hulu
Movie,Jack and Jill,"August 1, 2021",2011,PG,91.0,Comedy,Hulu
Movie,Kingpin,"August 1, 2021",1996,TV-14,114.0,Comedy,Hulu
Movie,Mirror Mirror,"August 1, 2021",2012,PG,106.0,"Action, Adventure, Comedy",Hulu
Movie,Mud,"August 1, 2021",2012,PG-13,131.0,"Action, Adventure, Drama",Hulu
Movie,My Bloody Valentine,"August 1, 2021",1981,R,101.0,"Horror, Thriller",Hulu
Movie,Shane,"August 1, 2021",1953,TV-G,135.0,"Adventure, Drama, Romance",Hulu
Movie,Shark Tale,"August 1, 2021",2004,PG,90.0,"Action, Adventure, Comedy",Hulu
Movie,Some Kind of Wonderful,"August 1, 2021",1987,PG-13,95.0,"Comedy, Romance",Hulu
Movie,The Baby-Sitters Club,"August 1, 2021",1995,PG,94.0,"Comedy, Drama, Family",Hulu
Movie,The Final Girls,"August 1, 2021",2015,PG-13,91.0,"Comedy, Horror",Hulu
Movie,The Hot Chick,"August 1, 2021",2002,PG-13,105.0,Comedy,Hulu
Movie,The Hunter,"August 1, 2021",1980,PG,97.0,"Action, Adventure, Crime",Hulu
Movie,The Sons of Katie Elder,"August 1, 2021",1965,TV-PG,122.0,"Action, Adventure",Hulu
Movie,The Thin Red Line,"August 1, 2021",1998,R,170.0,"Drama, History",Hulu
Movie,The Vatican Tapes,"August 1, 2021",2015,PG-13,91.0,"Horror, Thriller",Hulu
Movie,Toy Soldiers,"August 1, 2021",1991,R,112.0,"Action, Adventure",Hulu
Movie,Transcendence,"August 1, 2021",2014,PG-13,119.0,"Action, Adventure, Drama",Hulu
Movie,Under the Tuscan Sun,"August 1, 2021",2003,PG-13,113.0,"Comedy, Drama, Romance",Hulu
Movie,Watchmen,"August 1, 2021",2009,R,162.0,"Action, Adventure, Crime",Hulu
Movie,The Artist,"July 26, 2021",2011,PG-13,101.0,"Comedy, Drama, Romance",Hulu
Movie,Bullhead,"July 15, 2021",2011,R,129.0,"Crime, Drama",Hulu
Movie,The Connection,"July 15, 2021",2015,R,136.0,"Horror, Thriller",Hulu
Movie,The Final Member,"July 15, 2021",2014,R,72.0,"Documentaries, International",Hulu
Movie,The FP,"July 15, 2021",2012,R,83.0,Comedy,Hulu
Movie,The Keeping Room,"July 15, 2021",2015,R,95.0,"Drama, History, Thriller",Hulu
Movie,College Football,"July 14, 2021",1998,TV-G,96.50121457489878,Sports,Hulu
Movie,47 Meters Down,"July 10, 2021",2017,PG-13,89.0,"Horror, Thriller",Hulu
Movie,Barb and Star Go to Vista Del Mar,"July 9, 2021",2021,PG-13,107.0,Comedy,Hulu
Movie,In a World...,"July 9, 2021",2013,R,93.0,"Comedy, Drama",Hulu
Movie,"Pete Lee: Tall, Dark, and Pleasant","July 9, 2021",2021,TV-MA,96.50121457489878,"Comedy, Stand Up",Hulu
Movie,Papillon,"July 8, 2021",2017,R,133.0,"Action, Adventure, Drama",Hulu
Movie,Red Penguins,"July 7, 2021",2019,PG-13,80.0,Documentaries,Hulu
Movie,Bill & Ted Face the Music,"July 2, 2021",2020,PG-13,92.0,"Adventure, Comedy",Hulu
Movie,Born a Champion,"July 2, 2021",2021,R,112.0,"Action, Drama",Hulu
Movie,Dark Web: Cicada 3301,"July 2, 2021",2021,R,105.0,"Action, Adventure, Comedy",Hulu
Movie,Fear of Rain,"July 2, 2021",2021,PG-13,109.0,"Drama, Thriller",Hulu
Movie,Silk Road,"July 2, 2021",2021,R,117.0,"Crime, Drama, Thriller",Hulu
Movie,Summer of Soul,"July 2, 2021",2021,PG-13,118.0,"Black Stories, Documentaries",Hulu
Movie,The Right One,"July 2, 2021",2021,R,95.0,"Comedy, Romance",Hulu
Movie,127 Hours,"July 1, 2021",2010,R,94.0,Drama,Hulu
Movie,28 Weeks Later,"July 1, 2021",2007,R,100.0,"Action, Horror, Science Fiction",Hulu
Movie,68 Kill,"July 1, 2021",2017,R,93.0,"Comedy, Crime, Drama",Hulu
Movie,American Gun,"July 1, 2021",2005,R,95.0,Drama,Hulu
Movie,An Acceptable Loss,"July 1, 2021",2019,R,102.0,"Horror, Thriller",Hulu
Movie,Band Aid,"July 1, 2021",2017,R,94.0,"Comedy, Drama, Music",Hulu
Movie,"Beats, Rhymes & Life: The Travels of A Tribe Called Quest","July 1, 2021",2011,R,98.0,"Documentaries, Music",Hulu
Movie,Best of Cheddar,"July 1, 2021",2018,TV-G,96.50121457489878,News,Hulu
Movie,Big Fish,"July 1, 2021",2003,PG-13,125.0,Drama,Hulu
Movie,Bitter Harvest,"July 1, 2021",2017,R,103.0,Drama,Hulu
Movie,Bohemian Rhapsody,"July 1, 2021",2018,PG-13,135.0,"Drama, LGBTQ+, Music",Hulu
Movie,Candyman 3: Day of the Dead,"July 1, 2021",1999,R,93.0,"Horror, Thriller",Hulu
Movie,Chaplin,"July 1, 2021",1993,PG-13,145.0,Drama,Hulu
Movie,Chuck,"July 1, 2021",2016,R,98.0,Drama,Hulu
Movie,Coyote Ugly,"July 1, 2021",2000,PG-13,101.0,"Comedy, Drama, Romance",Hulu
Movie,Dealin' With Idiots,"July 1, 2021",2013,R,87.0,Comedy,Hulu
Movie,Dear White People,"July 1, 2021",2014,R,108.0,"Comedy, Drama",Hulu
Movie,Donnybrook,"July 1, 2021",2018,R,102.0,"Drama, Mystery, Thriller",Hulu
Movie,Enemy At The Gates,"July 1, 2021",2001,R,131.0,"Action, Adventure, Drama",Hulu
Movie,Factotum,"July 1, 2021",2005,R,93.0,"Comedy, Drama",Hulu
Movie,Frankenstein and the Monster from Hell,"July 1, 2021",1974,R,93.0,Horror,Hulu
Movie,Graduation,"July 1, 2021",2016,R,127.0,"Crime, Drama, International",Hulu
Movie,Intermission,"July 1, 2021",2004,R,106.0,"Comedy, Crime, Drama",Hulu
Movie,Mercury Rising,"July 1, 2021",1998,R,112.0,"Action, Crime, Drama",Hulu
Movie,Ode to Joy,"July 1, 2021",2019,R,98.0,"Comedy, Romance",Hulu
Movie,Open Water,"July 1, 2021",2004,R,80.0,"Adventure, Drama, Horror",Hulu
Movie,Open Water 2: Adrift,"July 1, 2021",2007,R,95.0,"Horror, Thriller",Hulu
Movie,Personal Shopper,"July 1, 2021",2016,R,105.0,"Drama, Horror, Mystery",Hulu
Movie,Stonewall,"July 1, 2021",2016,R,129.0,"Drama, History, LGBTQ+",Hulu
Movie,Sweet Virginia,"July 1, 2021",2017,R,93.0,"Drama, Thriller",Hulu
Movie,Take Every Wave: The Life of Laird Hamilton,"July 1, 2021",2017,PG,118.0,"Documentaries, Sports",Hulu
Movie,Take Shelter,"July 1, 2021",2011,R,121.0,"Drama, Horror, Thriller",Hulu
Movie,The Conversation,"July 1, 2021",1974,PG,114.0,"Classics, Crime, Drama",Hulu
Movie,The Face of Love,"July 1, 2021",2013,PG-13,92.0,"Drama, Romance",Hulu
Movie,The Gift,"July 1, 2021",2000,R,112.0,"Drama, Horror",Hulu
Movie,The Girl With the Dragon Tattoo,"July 1, 2021",2011,R,152.0,"Crime, Drama, Mystery",Hulu
Movie,They Came Together,"July 1, 2021",2014,R,83.0,"Comedy, Drama, Romance",Hulu
Movie,Timeline,"July 1, 2021",2003,PG-13,116.0,"Action, Adventure, Science Fiction",Hulu
Movie,Tooth Fairy,"July 1, 2021",2010,PG,102.0,"Comedy, Family, Kids",Hulu
Movie,Twisted,"July 1, 2021",2004,R,97.0,"Crime, Drama, Thriller",Hulu
Movie,Underworld,"July 1, 2021",2003,R,121.0,"Action, Thriller",Hulu
Movie,Underworld Awakening,"July 1, 2021",2012,R,89.0,"Action, Adventure, Horror",Hulu
Movie,Underworld: Evolution,"July 1, 2021",2006,TV-14,86.0,"Action, Adventure, Drama",Hulu
Movie,Underworld: Rise Of The Lycans,"July 1, 2021",2009,R,92.0,"Action, Adventure, Horror",Hulu
Movie,Hansel & Gretel: Witch Hunters,"June 30, 2021",2013,TV-MA,88.0,"Action, Adventure, Horror",Hulu
Movie,Jack Reacher,"June 30, 2021",2012,PG-13,127.0,"Action, Adventure, Mystery",Hulu
Movie,Bratz: The Movie,"June 29, 2021",2007,PG,102.0,"Comedy, Family, Kids",Hulu
Movie,Harvie and the Magic Museum,"June 29, 2021",2017,TV-PG,86.0,"Action, Adventure, Comedy",Hulu
Movie,False Positive,"June 25, 2021",2021,TV-MA,93.0,"Horror, Thriller",Hulu
Movie,Elvis Presley: The Searcher,"June 24, 2021",2018,TV-PG,96.50121457489878,"Documentaries, Music",Hulu
Movie,Monster Trucks,"June 22, 2021",2017,PG,105.0,"Action, Adventure, Comedy",Hulu
Movie,The Guilt Trip,"June 20, 2021",2012,TV-14,96.0,"Comedy, Drama",Hulu
Movie,The Doorman,"June 18, 2021",2020,R,97.0,"Action, Thriller",Hulu
Movie,Phobias,"June 17, 2021",2021,R,86.0,"Horror, Thriller",Hulu
Movie,Gone Girl,"June 15, 2021",2014,TV-MA,146.0,"Crime, Drama, Mystery",Hulu
Movie,Her Deadly Sugar Daddy,"June 15, 2021",2020,TV-14,91.0,"Horror, Thriller",Hulu
Movie,The Croods: A New Age,"June 9, 2021",2020,PG,95.0,"Action, Adventure, Comedy",Hulu
